comment_text,sentiment_category,date,source
ﺑــﺮﺍﻓـــﻮ,1,date= 2017-12-11T15:32:28.000Z,Youtube videoId=Kvk_GEwOJ2c
ﺍﻟﻜﻠﻴﺐ ﺑﺼﺮﺍﺣﺔ ﻣﺤﻼﻩ ♥,1,date= 2017-12-11T15:28:50.000Z,Youtube videoId=cguZzv_aAfk
ﺍﻟﺘﻔﺘﺢ ﻋﻠﻰ ﺍﻟﺤﻀﺎﺭﺍﺕ ﻭﺍﻟﺜﻘﺎﻓﺎﺕ ﺍﻟﻐﺮﺑﻴﺔ ﺟﻌﻞ ﺍﻟﺒﻌﺾ ﻳﻨﺴﺎﻕ ﻭﺭﺍﺀ ﺷﻬﻮﺍﺗﻪ ﻓﺘﺠﺪ ﺑﻠﺪﺍ ﻣﺴﻠﻤﺎ ﻟﻜﻦ ﻛﻠﻤﺔ ﺍﻹﺳﻼﻡ ﻓﻴﻪ ﻣﺠﺮﺩ ﻛﻠﻤﺔ ﻭ ﺍﻷﻓﻌﺎﻝ ﻟﻴﺴﺖ ﻟﻬﺎ ﺃﻱ ﻋﻼﻗﺔ ﺑﻤﻌﻨﻰ ﺍﻹﺳﻼﻡ،ﻓﺄﺣﻴﺎﻧﺎ ﻳﺸﻚ ﺍﻟﺸﺨﺺ ﻫﻞ ﻫﻮ ﻓﻲ ﺑﻠﺪ ﻣﺴﻠﻢ ﺃﻡ ﻻ. ..ﻣﻦ ﻣﻌﻲ ﻻﻳﻚ,0,date= 2017-11-25T14:53:44.000Z,Youtube videoId=cguZzv_aAfk
ﻫﻴﺔ ﺣﻠﻴﻠﺘﻬﺎ ﻭ ﺭﺑﻲ ﻳﺰﻥ ﺳﻌﺪﻫﺎ ﺍﻣﺎ ﻛﻴﻒ ﺗﺘﻜﻠﻢ ﺗﻨﺮﻓﺰﻧﻲ ﺻﻮﺗﻬﺎ ﻫﻮ ﺍﻟﻲ ﻣﺼﺘﻬﺎ ﺗﻘﻮﻝ ﻋﻠﻴﻬﺎ ﺗﺤﺐ ﺗﺘﻔﻴﻨﺲ ﺑﻞ ﺍﻟﺴﻴﻒ ﻭ ﻛﻴﻒ ﺗﺘﻜﻠﻢ ﺑﻞ ﺑﺎﻟﻔﺮﻧﺴﻴﺔ ﺗﻨﺮﻓﺰﻧﻲ ﺍﻛﺘﺮ ﻋﻞaccent ﻣﺘﺎﻋﻬﺎ ﻋﺮﻭﺑﻲ ﻛﺎﻥ ﺗﺠﻲ ﺑﺤﺬﺍﻧﺎ ﻟﻔﺮﻧﺴﺎ ﻣﺘﻘﺪﺵ ﺭﻭﺣﻬﺎ !,0,date= 2017-11-21T22:18:36.000Z,Youtube videoId=BDTx2tvGd-s
ﺑﺮﺍﻓﻮ !!!!!!!!!!!!,1,date= 2017-11-19T21:44:23.000Z,Youtube videoId=cguZzv_aAfk
ﷲ ﻋﻠﻰ ﺯﻣﻦ ﺃﺻﺒﺢ ﺍﻟﻌﻬﺮ ﻓﻴﻪ ﻓﻦ.,0,date= 2017-11-19T20:13:11.000Z,Youtube videoId=cguZzv_aAfk
❤💔,1,date= 2017-11-18T00:37:04.000Z,Youtube videoId=cguZzv_aAfk
ﺷﻲ ﻳﻘﺰﺯ,0,date= 2017-11-14T20:42:54.000Z,Youtube videoId=cguZzv_aAfk
faut dire j'aime les animaux de RACE! !!,0,date= 2017-11-13T23:25:22.000Z,Youtube videoId=BDTx2tvGd-s
désolée mais elle est insignifiante. . comme tant d'autres actrices hélas,1,date= 2017-11-13T23:20:47.000Z,Youtube videoId=BDTx2tvGd-s
klip behi ama 5neyaa ka3ba la,0,date= 2017-11-13T14:02:48.000Z,Youtube videoId=cguZzv_aAfk
"ﻛﻞ ﺩﻩ ﻳﻄﻠﻊ ﻣﻨﻚ ﺍﻧﺖ ﻳﺎ ﺍﺳﻲ ﻳﺎ ﻧﺎﺳﻲ 😂😂😂 
ﺧﺪﻋﺘﻴﻨﻲ ﺑﺎﻟﻠﻤﺎﻥ ﻛﻨﺖ ﺣﺎﺑﻪ ﻧﺨﻄﺒﻚ ﻟﺨﻮﻳﺎ ، ﻃﻠﻌﺘﻲ ﺳﻔﻠﻪ 😁😂😂",0,date= 2017-11-10T22:19:39.000Z,Youtube videoId=cguZzv_aAfk
Aicha 3assal love you,1,date= 2017-11-09T18:37:05.000Z,Youtube videoId=BDTx2tvGd-s
ye Aichaaaaaaa rabi ye7miiiiiiiiiiiiikkkk,1,date= 2017-11-08T23:17:15.000Z,Youtube videoId=channel
ya3tik wahf ihezzik ya aicha mat8annich 5ir,0,date= 2017-11-07T19:12:19.000Z,Youtube videoId=cguZzv_aAfk
Nmouuuut 3lik Aicha... rabi  m3ak ma7lekk,1,date= 2017-11-07T16:22:27.000Z,Youtube videoId=BDTx2tvGd-s
