comment_text,sentiment_category,date,source_url
جبري ومريض ساقط﻿,neg,2017-12-01,https://www.youtube.com/all_comments?v=raf3tXFkdvk
احلي صوت والله 💗💗💗💗﻿,pos,2017-12-01,https://www.youtube.com/all_comments?v=raf3tXFkdvk
ما احلى زينو الوليد ربي يفضلو﻿,pos,2017-12-01,https://www.youtube.com/all_comments?v=raf3tXFkdvk
Prforet khalil جبري راهو نكرهو انا زاده اللي يطيح بيه لازم يشلبقوا﻿,neg,2017-12-01,https://www.youtube.com/all_comments?v=raf3tXFkdvk
سمرونة حلوة مممممممممممممم نعشقهم﻿,pos,2017-12-17,https://www.youtube.com/all_comments?v=hK0Xv8h_y0Y
قلة حياء﻿,neg,2017-12-17,https://www.youtube.com/all_comments?v=hK0Xv8h_y0Y
شــحال نحــبك يا عــلاء ربـي يـحـفَـظـك خـويـا﻿,pos,2017-12-01,https://www.youtube.com/all_comments?v=hK0Xv8h_y0Y
هو ديوث﻿,neg,2017-12-01,https://www.youtube.com/all_comments?v=hK0Xv8h_y0Y
هي قحبة وماتسواش﻿,neg,2017-12-01,https://www.youtube.com/all_comments?v=hK0Xv8h_y0Y
رجل ميبون وقحبة مسخة﻿,neg,2017-12-01,https://www.youtube.com/all_comments?v=hK0Xv8h_y0Y
ربي يصلح شباب او شبات﻿,pos,2017-12-01,https://www.youtube.com/all_comments?v=hK0Xv8h_y0Y
نموت عليكم امور جدية وخاصة  الفكاهة نحبكم ....... ,pos,2017-12-30,https://www.youtube.com/all_comments?v=Rvv7ya1r4_Q
ههههه روعة.,pos,2017-12-27,https://www.youtube.com/all_comments?v=Rvv7ya1r4_Q
هههه روعة كريم﻿,pos,2017-12-27,https://www.youtube.com/all_comments?v=Rvv7ya1r4_Q
ياسر طيارة ,pos,2017-12-25,https://www.youtube.com/all_comments?v=Rvv7ya1r4_Q
برافو حلوة برشا ,pos,2017-12-24,https://www.youtube.com/all_comments?v=Rvv7ya1r4_Q
برافو حلوة ,pos,2017-12-29,https://www.youtube.com/all_comments?v=Rvv7ya1r4_Q
مزيانة ياسر ,pos,2017-12-24,https://www.youtube.com/all_comments?v=Rvv7ya1r4_Q
محلاك يا كريم وبسام انتوم احسن   زوز في الضحك برافو محلاكم﻿,pos,2016-12-31,https://www.youtube.com/all_comments?v=Rvv7ya1r4_Q
مزيانة برشا﻿,pos,2017-12-24,https://www.youtube.com/all_comments?v=Rvv7ya1r4_Q
عسل ,pos,2017-12-24,https://www.youtube.com/all_comments?v=Rvv7ya1r4_Q
شكرا لكم﻿,pos,2017-12-24,https://www.youtube.com/all_comments?v=Rvv7ya1r4_Q
تحفة﻿,pos,2017-12-24,https://www.youtube.com/all_comments?v=Rvv7ya1r4_Q
حلقة روعة ,pos,2017-12-30,https://www.youtube.com/all_comments?v=AbV29V6mthU
والله أحلى برنامج تونسي﻿,pos,2017-12-24,https://www.youtube.com/all_comments?v=AbV29V6mthU
محله الحلقة﻿,pos,2017-12-24,https://www.youtube.com/all_comments?v=AbV29V6mthU
محلاه الطفل إلي ورا بسام يهبل   ,pos,2017-12-24,https://www.youtube.com/all_comments?v=AbV29V6mthU
يا مرحبا﻿,pos,2017-12-24,https://www.youtube.com/all_comments?v=AbV29V6mthU
رائع رائع,pos,2017-12-29,https://www.youtube.com/all_comments?v=aCH4tUgH0OQ
باش تلعب دليلك ملك رووووعة﻿,pos,2017-12-29,https://www.youtube.com/all_comments?v=aCH4tUgH0OQ
كل عام و البشرية بخير عام سعيد تحيا الحوار التونسى قناة التفرهيد و العفوية﻿,pos,2017-12-30,https://www.youtube.com/all_comments?v=aCH4tUgH0OQ
احلى برنامج﻿,pos,2017-12-28,https://www.youtube.com/all_comments?v=aCH4tUgH0OQ
باين فاها حلقة عالمية حنان وميقالو والصادق جو راسم العام عاد﻿,pos,2017-12-28,https://www.youtube.com/all_comments?v=aCH4tUgH0OQ
علاش القصان يا ولاد القحبة﻿,neg,2017-12-17,https://www.youtube.com/all_comments?v=TkOf8Ws3K5U
نحبها امور جدية﻿,pos,2017-12-17,https://www.youtube.com/all_comments?v=dKo2I1dYnyI
تهبل كريم﻿,pos,2017-12-17,https://www.youtube.com/all_comments?v=dKo2I1dYnyI
فوزي يامعلم﻿,pos,2017-12-17,https://www.youtube.com/all_comments?v=dKo2I1dYnyI
مشكور,pos,2017-12-17,https://www.youtube.com/all_comments?v=dKo2I1dYnyI
تهبل ,pos,2017-12-17,https://www.youtube.com/all_comments?v=dKo2I1dYnyI
"اجمل صوت في العالم العربي
https://youtu.be/0xiUXObbRz4﻿",pos,2017-12-17,https://www.youtube.com/all_comments?v=dKo2I1dYnyI
كريم الغربي وحده والصادق وبسام برافوووووو﻿,pos,2017-12-17,https://www.youtube.com/all_comments?v=dKo2I1dYnyI
ملامحها   انوثه   منال﻿,pos,2017-12-10,https://www.youtube.com/all_comments?v=D9nCHvAEG2E
تحية عطرة من الجزائر لأخوتنا التوانسة نحبوكم برشا برشا 💙💙💙﻿,pos,2017-12-10,https://www.youtube.com/all_comments?v=D9nCHvAEG2E
كرهتني في البرنامج !!﻿,neg,2017-12-10,https://www.youtube.com/all_comments?v=D9nCHvAEG2E
امور جدية حصة طيارة...نموت على تونس من الجزائر﻿,pos,2017-12-10,https://www.youtube.com/all_comments?v=D9nCHvAEG2E
كل عام وانتى بالف خير فوزي بن قمرة ومحلاهم  ✌👍😂﻿,pos,2017-12-10,https://www.youtube.com/all_comments?v=D9nCHvAEG2E
تحية من الجزائر نحبكم😊﻿,pos,2017-12-10,https://www.youtube.com/all_comments?v=D9nCHvAEG2E
 طيارة,pos,2017-12-10,https://www.youtube.com/all_comments?v=D9nCHvAEG2E
برافو,pos,2017-12-10,https://www.youtube.com/all_comments?v=D9nCHvAEG2E
فوزي وربى يحميه هو فخر تونس﻿,pos,2017-12-10,https://www.youtube.com/all_comments?v=cHP86Vt-vw0
bravooooo﻿,pos,2017-12-01,https://www.youtube.com/all_comments?v=NqaRY3rLEz4
مرسي﻿,pos,2017-12-01,https://www.youtube.com/all_comments?v=NqaRY3rLEz4
الف مبروك يا عمري نوفل نشاء الله يتربا في عزك﻿,pos,2017-12-01,https://www.youtube.com/all_comments?v=NqaRY3rLEz4
اول تعليق ، كالعادة ، تحية عطرة من الجزائر لأخوتنا التوانسة نحبوكم برشا برشا 💙💙💙﻿,pos,2017-12-01,https://www.youtube.com/all_comments?v=NqaRY3rLEz4
الي يحب دجو يحط لايك﻿,pos,2017-12-01,https://www.youtube.com/all_comments?v=7_o6UIDbM3A
