comment_text,sentiment_category,date,source_url
Pauvre ***,0," Dec 7, 2017",https://www.youtube.com/watch?v=IJcL2RHfk28
منشط  ****,0," Dec 7, 2017",https://www.youtube.com/watch?v=IJcL2RHfk28
ممثل  ****,0," Dec 7, 2017",https://www.youtube.com/watch?v=IJcL2RHfk28
ديكوري,0," Dec 7, 2017",https://www.youtube.com/watch?v=IJcL2RHfk28
موسيقتي,0," Dec 7, 2017",https://www.youtube.com/watch?v=IJcL2RHfk28
جمهوري,0," Dec 7, 2017",https://www.youtube.com/watch?v=IJcL2RHfk28
شوفوا العرب شنوة اهتماماتهم ...فعلا أمة نائمة إحنا توة في أكبر مصيبة للأمة الإسلامية الكل نورمالمون رانا في حداد موش نضحكوا ونلعبوا ونفدلكوا ونتفرجوا على الميوعة والتفاهات ...,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
علاش تضحكو على بهامتكم شوفو اخوانكم الفلسطنيين و المسلمين في بورمة هاي نندبهم عليكم,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Ayat Ben Ahmed  فاش ربي معاهم باش يحرر القدس زايد عاهرات ميتلامش عليكم,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
اول حلقه بداهابالخمج متاعو والغشه جايبها بالقباحه بالرسمي .....وسخ لقناة التاسعه,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bde b 9ilet torbiya la3ibha weld 7ouma 3arbi w raye9 ti 9oum bayet jir tnafa3 w i7chem rak rwijel 5ater rojla kes7a 3lik,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Ya7 bini yarrah ghates lotfi men awel 7al9a bel ghacha welklem elmerzi pffffffff,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
شنوا ها لحالة هدي,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Makech mta3 talfza,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
ماسطة الحلقة كيفك يا لطفي,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Gedech 5raaaaaaaa,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Oltof ye rab,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Tounes ya kedheba,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
ما سط,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Hall masit,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
ماسط و سخيف,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Ya rien je n'entend rien,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
هنا نستنو,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
مافي صوت,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
شو هاد,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
اتكلم,0,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
