comment_text,sentiment_category,date,source_url
hhhhhh,2," Dec 7, 2017",https://www.youtube.com/watch?v=IJcL2RHfk28
هايك,2," Dec 7, 2017",https://www.youtube.com/watch?v=IJcL2RHfk28
سي لطفي العبدلي,2," Dec 7, 2017",https://www.youtube.com/watch?v=IJcL2RHfk28
وحش الشاشة,2," Dec 7, 2017",https://www.youtube.com/watch?v=IJcL2RHfk28
كل واحد  *** في جيبوا,2," Dec 7, 2017",https://www.youtube.com/watch?v=IJcL2RHfk28
لطفي العبدلي ✌👍💟,2," Dec 7, 2017",https://www.youtube.com/watch?v=IJcL2RHfk28
شكرا بالتوفيق وقناة التاسعة قناة كل التونسيين وطز والف طز في قناة الفهري الحوار التونسي,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
علاه متسومهاش قناة الترفيه وين نتفرج نحي علي بالي شوي بالتوفيق ان شاء الله من الجزائر,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Brabi 5aliyni nshalkoum 3lach t4azle men Loutfi L3abdeli 3ala 5atre 9biyh fama koumond sahla L3amaliya,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Ma3alim ye lotfi rabi m3ak bitawfi9 inchalah,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
M3alim,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
M3LLEM ya Loutfi,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon  courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
متاكدة الي بش يطيح عليهم لكل😍😍😍,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
ما قماش صوت اتفرجوا ديراكت على التاسعة يااااسر ضمااار,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
مشكرين,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
im3lem ya weldyyy,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
معلم لطفي اما نقص من بيييب,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Frst,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Nice beauteful  😁😁😁😁,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Lotfi ya  m3allem 😍,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
ان شاء ألله بالتوفيق,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
اهوكة لدى توى ضاهر فيها شبعة ضحك,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
ظاهر برنامج باش يعمل الباز مدام فيه لطفي المعلم,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Jaime',2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage 😙,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Booom 3bdeli,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
لطفى فى شوفلى حل اضحك بس 😂,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Love you,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Aa lotfiiii,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon chance,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Lotfi el3ebdeli Mala jaw Rabi iwaf9ek,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
وههه,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon Courage👍👍,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Brabi tfarrjou aman 9bal wba3d ahkiw z3am ken fi tanbir pfffff,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Raby i3ink tayer 😛😍😻😘 ena t3jbni,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage 👍,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
barcha dho7k,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
rabi m3ek ya lotfi 😘👏👏👏,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Inchallah betawfi9 we inja7 y'a lotfi,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
bon couragee,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
مرحبا,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
.بالتوفييييق,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Oooo3333 💩,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Macha allah,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon continuation,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
اني حاب نشارك بصح منعرفش,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage :* :*  :*  (y),2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
مرحبا,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
مرحبا,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Alkadia,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Wa9tech yebda,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Lotfi yam3alam,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
J'aiiiiiiime 😘❤💗💜💕,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Lotfi bitawfi9 dima mnawir,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage👌👍,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Rabi maek,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
C'est joli,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Mella dakhla maalem👍bon courage.,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon couraj,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage 😻😘,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage abdeli ❤❤,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
rabi e3ink ya 3ebdliii..ya 9aherhom😎😍😘,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Waw aww,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage abdili,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
Bon courage,2,"7 décembre, 20:54",https://www.facebook.com/AttessiaTV/videos/733408660186222/
