comment_text,date,url,sentiment
ما عجبتنيش الاغنية﻿,4 days ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,n
اغنية روعة بصح في الاخير لبست حذاء الالمنيوم هههههه😂 كما لبست البست البنفسجي﻿,6 days ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,n
فوضى﻿,6 days ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,n
ههههههههههه﻿,1 week ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,n
لعنة الله علي شارك في التفهات هاذي مسكينة تونس و برا....﻿,1 week ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,n
حتى هي شكلي شكلا مل هبل﻿,1 week ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,n
Ma5ieb rasek﻿,1 week ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,n
مقرفة و مقززة إنتي يا منال﻿,4 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,n
Ti bara ma5ybek ninshekk talka khidma okhraa w enti kardaa twaskhilna fi wednina ya Hamm ,4 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,n
فيها اخطاء﻿,4 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,n
yezzi min el tijara echehar akther minha ghneya﻿,1 month ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,n
تعيف ما فيها حتى معنى ولا شارغم اف ضيعتى دراهمك يا روحي﻿,1 month ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,n
manel  3raben w armastra hahahahhahahahahah  diki diki﻿,1 month ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,n
masta kifik﻿,1 month ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,n
التونسيين لا علاقة بالكوميديا﻿,1 month ago,https://www.youtube.com/watch?v=EcOsVDYHaWc,n
توانسة بهيم نعتوه في تونس يتشهر﻿,2 months ago,https://www.youtube.com/watch?v=EcOsVDYHaWc,n
SIC MUSIC﻿,1 month ago,https://www.youtube.com/watch?v=EcOsVDYHaWc,n
Yeeeeeser mssata﻿,1 weeks ago,https://www.youtube.com/watch?v=EcOsVDYHaWc,n
هههه تونس اكبر قوة اقليمية بفضل منال عمارة﻿,1 weeks ago,https://www.youtube.com/watch?v=EcOsVDYHaWc,n
منال احشمي على روحك﻿,1 weeks ago,https://www.youtube.com/watch?v=EcOsVDYHaWc,n
منهو الي قالك نبغو  العاهرات﻿,3 months ago,https://www.youtube.com/watch?v=EcOsVDYHaWc,n
masta m3a bilel elbaji,6 months ago,https://www.youtube.com/watch?v=EcOsVDYHaWc,n
هههه ميضحكش﻿,1 month ago,https://www.youtube.com/watch?v=EcOsVDYHaWc,n
3malto el fadhe7﻿,1 month ago,https://www.youtube.com/watch?v=EcOsVDYHaWc,n
Tu es très moche sans un kilo de maquillage je te l'assure !﻿,1 month ago,https://www.youtube.com/watch?v=EcOsVDYHaWc,n
5ih ye5i ma tet9azzezch men ro7k w t9oul 3lech na3mel hakka ? ,5 days ago,https://www.youtube.com/watch?v=xpfDAVhzsAo,n
wtf ?﻿,1 week ago,https://www.youtube.com/watch?v=xpfDAVhzsAo,n
ﻓﺮﺣﺖ ﺑﺮﻭﺣﺎ ﻣﻦ ﺍﻻﻭﺍﺀﻝ. ﻟﺪﺧﻠﻴﻦ ﺟﻬﻨﻢ ,2017-12-31T17:23:32+0000 , https://graph.facebook.com/v2.11/134815143308923_640626052727827?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e ,n
ﺍﻧﺘﻲ ﻣﺘﺠﻲ ﺷﻲ ﻻ ﺻﻮﺕ ﻭﻻ ﻣﻨﻈﺮ ,2017-12-31T17:25:47+0000 , https://graph.facebook.com/v2.11/134815143308923_640626052727827?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e , n
Tfoh y'a ms5a ,2017-12-30T15:56:23+0000 , https://graph.facebook.com/v2.11/134815143308923_639572672833165?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e , n
Sakri fomek manel da3ara ,2017-12-29T20:54:46+0000 , https://graph.facebook.com/v2.11/134815143308923_639542129502886?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e ,n
ﻣﺎﻟﻘﻴﻨﺎ ﻣﻨﺘﻔﺮﺟﻮﻭ ﻛﺎﻥ ﻋﻠﻰ ﻋﺎﻫﺮﺓ ﺗﻔﻮﻭﻭﻭ ,2017-12-30T07:13:23+0000 , https://graph.facebook.com/v2.11/134815143308923_639542129502886?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e ,n
Movaize ,2017-12-29T17:59:49+0000 , https://graph.facebook.com/v2.11/134815143308923_639449162845516?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e ,n
3ahirat yosbe7na najmat wa9it kalb ,2017-12-30T09:18:02+0000 , https://graph.facebook.com/v2.11/134815143308923_639449162845516?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e ,n
0,2017-12-29T15:34:18+0000 , https://graph.facebook.com/v2.11/134815143308923_639233052867127?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e ,n
Photo de profil masta 3l lakir ,2017-12-28T11:27:42+0000 , https://graph.facebook.com/v2.11/134815143308923_638859889571110?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e ,n
ﻟﻮ ﻋﻤﻠﺖ ﻣﺰﻳﺔ ﺭﺍﻙ ﻧﺤﻴﺘﻬﺎ ﺍﻟﺮﻭﺑﺔ .ﺇﻧﺖ ﺁﺵ ﻏﻄﻴﺖ ﺑﺎﺵ ﺗﻠﺒﺴﻬﺎ ,2017-12-28T11:33:38+0000 , https://graph.facebook.com/v2.11/134815143308923_638859889571110?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e ,n
walahi ken staret rou7ek 5ir\r\n\nnetsawrek tkoune a7la . ,2017-12-28T11:49:46+0000 , https://graph.facebook.com/v2.11/134815143308923_638859889571110?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e , n
ﻧﺘﻤﻨﻰ ﻧﻬﺎﺭ ﻧﺸﻮﻓﻚ ﺳﺎﻣﺒﻞ ﻓﻲ ﺍﻟﺘﻠﻔﺰﺓ ,2017-12-27T20:43:21+0000 , https://graph.facebook.com/v2.11/134815143308923_638577502932682?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e ,n
ﺟﻬﻨﻢ ﻛﺘﺴﺎﻧﺎﻛﻢ ﻫﻬﻬﻪ ,2017-12-27T20:44:19+0000 , https://graph.facebook.com/v2.11/134815143308923_638577502932682?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e ,n
amelti reha ,2017-12-27T20:50:29+0000 , https://graph.facebook.com/v2.11/134815143308923_638577502932682?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e ,n
ﺩﻭﻟﺔ ﺗﻮﻧﺲ ﺧﻼﺹ ﺭﺍﺣﺖ ﻓﻲ ﺍﻟﻬﻮﻯ ﻻ ﺩﻳﻦ ﻭﻻ ﺩﻧﻴﺎ ,2017-12-27T20:51:24+0000 , https://graph.facebook.com/v2.11/134815143308923_638577502932682?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e ,n
Bech t9abel rabi hal ma5lou9a ya wilha ,2017-12-27T20:55:27+0000 , https://graph.facebook.com/v2.11/134815143308923_638577502932682?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e ,n
Miskina chib w el3ib ,2017-12-27T15:20:28+0000 , https://graph.facebook.com/v2.11/134815143308923_638430486280717?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e ,n
La robe pas tellement ,2017-12-27T15:54:15+0000 , https://graph.facebook.com/v2.11/134815143308923_638430486280717?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e , n
ﻣﺨﻴﺒﻬﺎ ﻭﻣﻤﺼﻄﻬﺎ ,2017-12-27T16:10:06+0000 , https://graph.facebook.com/v2.11/134815143308923_638430486280717?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e ,n
ﺭﺑﻲ ﻳﻬﺪﻳﻚ ﻭﻳﻬﺪﻱ ﺍﻟﻨﺎﺱ ﺍﻟﻲ ﺭﺍﻫﻲ ﺍﺗﺒﻊ ﻓﻴﻚ \nﻣﺎ ﺷﺎﺀ ﷲ ﻣﻼﻳﻴﻦ ﺍﻹﻣﻌﺎﺕ ﺗﺘﺎﺑﻊ ﻓﻴﻚ ﺷﺊ ﻣﺆﺳﻒ ,2017-12-27T17:22:39+0000 , https://graph.facebook.com/v2.11/134815143308923_638114106312355?fields=comments&access_token=135633287132095|0418ebbb9a5f93168ff465e68a58a45e ,n
