comment_text,date,url,sentiment
حلوة برش تحية من جزائر﻿,1 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
نحب منال عمارة والتوانسة كل انا جزائري﻿,3 days ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
Jdr ces chansons sont gaie J adore c'est la deuxième chanson de Label que je découvre et ♡ ,5 days ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
Bisous aux Tunisiens du DZ 🙋‍♀️﻿,5 days ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
محلاه غناك يا منال الناس الكل تحبك    و انا حطيت جام﻿,6 days ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
يا منو نحبك برشى إنتي و شلغوم﻿,1 week ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
تحيا،منولة، ,1 week ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
نموت عليك منال﻿,1 week ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
تحيات من الجزائر نحبك امونة و نموت عليك 💖💖💖💖💖💖😘😘😘😘﻿,1 week ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
Toop﻿,1 week ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
Bravo bon continuation﻿,1 week ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
Waaaaaaaaaaaaaaaaaaaaaaaw😍﻿,1 week ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
غناية باهية﻿,1 week ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
شحال يعجبني هذا النوع تاع الغناء فيه فرحة و بهجة تحية من الجزائر لخاوتنا التوانسة﻿,1 week ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
تهبل﻿,1 week ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
Love you 😍😍😘﻿,2 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
عملت علاها جو .. يعطيك الصحة منووولة﻿,2 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
j'adore cet clip﻿,3 days ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
روعة روعة منولة العالمية انشاء الله كليب وصوت في القمة سلامي  من الجزائر﻿,2 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
I love you 💟💞💝💘💗💖💕👅💋💓💓💜💚💛😍😘❤💙﻿,2 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
روع جدا﻿,2 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
انا جزائرية و تعجبني منال عمارة و عجبتني الغناية روووعة برافو منال و تحية كبييييييييرة للتوانسة كل😘😘😘﻿,2 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
تحفة ,2 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
Ma7lek manel﻿,2 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
MAanoulaa Nehbkk 😚😚😚😍😍😗😗💖💖💓💓💕😘💙💚💜💘💝😂😂💋💋💋﻿,2 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
Vraiment bravo manola c est une belle chanson😘😘😘😘😘😘😘😘😘😘😘😘😘﻿,2 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
روووووووووعة😍😍😍😍😍😍﻿,2 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
raw3aaaaa﻿,3 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
ay ay ay malla manoula﻿,3 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
Love manale😍😍😍😍😍﻿,3 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
marhaba bel ellamayra﻿,3 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
msalli annebi ala elamayra﻿,4 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
dhakertna besougher ya3tek douda chkoun mal3abeche chekli chekla hhhhh﻿,4 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
je t aime beaucoup﻿,4 weeks ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
Mala manoula hhhhhh🙇😘😘😘😘😘😘😘😘😘😘😘😽😽😽😽😽😻😻😻😻﻿,1 month ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
Très belle chanson Manal Amara d'Algérie Je t'aime et j'admire Beck bezaff😛💋💋💗💗💗💪💪💪💕💕﻿,1 month ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
محلاك يا منال واصلي اححححححسسسسسسسسسسسسسسسسسسسسسسسسسسسسسسسسسسسسسسسسنت﻿,1 month ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
😘😘😍😍😍😘😘😗 n7ebek Barcha nannoulti﻿,1 month ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
ellhoutt ala  elamayra zidou ala eliin zidou﻿,1 month ago,https://www.youtube.com/watch?v=0jfmv-ldq5I,p
