comment_text,emotion,date,url
عسلامة أورونج رقدت مخلي ال puce متاعي أورونج قمت نلقاها تبدلت أوريدو بلاهي كيفاش نبدلها تليكوم,negative,2018-01-02T19:16:17+0000,https://www.facebook.com/298166859034_10155976149264035
"اورونج نحب نقلكم عيشكم خاتر انتوما الوحدين
تتفكروني
تعيدو عليا قبل عيلتي
و مبعد تبعثولي ميساج تقولولي راهو فلوسك وفاو
تعرف الي انا مبارح صبيت دينار ياخي سرقتوه تعرفووووو...😠😠
مصح الرقعة 😑
كان جيت انجم نقتل واحد راني مشيت طول انلوج الي يبعثلي مساج يقلي فيه راهو فلوسك وفاو😈
و شكرا .....
من دون تصفيق 😂😂",negative,2018-01-02T19:43:48+0000,https://www.facebook.com/298166859034_10155976149264035
"brabi orange, pk l'connexion ,ma@ t7ebech temchili kan fcbk 7ata le messenger ma najemtech na3mlelha téléchargement en plus le play store ma 7abech chniya ilmochkla brabi",negative,2018-01-02T20:37:47+0000,https://www.facebook.com/298166859034_10155976149264035
slm orange elyoum 3adet fourfi 900 ta3 7 jour tan7tli 1800 maya a3lech na7touhem dima tasrli hadi,negative,2018-01-02T19:00:49+0000,https://www.facebook.com/298166859034_10155976149264035
N7eb orange,positive,2018-01-08T20:13:49+0000,https://www.facebook.com/298166859034_10155991701199035
حزين,negative,2018-01-08T19:15:36+0000,https://www.facebook.com/298166859034_10155991701199035
نسالكم 70 ميغاا الله لا تربحكم انتم باش تربحوو الشعب يا متحيلين ان شاء الله 70 ميغاا تطلعلكم 70 مليار خسارة,negative,2018-01-02T19:11:40+0000,https://www.facebook.com/298166859034_10155976149264035
"Problème de connexion avec les sites internationaux en 4G !!! echnouwa  hedha! echnouwa ye5i Facebook, Youtube , twitter welbe9i ma3andenech el7a9??!!",negative,2018-01-09T18:10:08+0000,https://www.facebook.com/298166859034_10155990710899035
bon orange pk la connexion t7bch temchi ken facebook ama youtube t7ebech😤😤😲 plzzz gedou connexion  c'est rien ok🤗🤗,negative,2018-01-02T20:47:32+0000,https://www.facebook.com/298166859034_10155976149264035
3aslma orange belhy n7eb na3ref 3lach ne7etow barcha 7ajet kanow mawjodin fel offert d'appelle any wa7da mens 5alwony nkon men 7ourfkom wtaw bsar7a walit nlawej 3lla ay 5admt o5ra tsa3edny,negative,2018-01-02T21:43:12+0000,https://www.facebook.com/298166859034_10155976149264035
احساسنا الي كثروتولها مالسارقة  في الانترنات ركم مرجتونا و مصلحة الحرفاء كي بيها كي بلاش,negative,2018-01-09T07:58:29+0000,https://www.facebook.com/298166859034_10155991701199035
ana 3andi el orange wel telekom 00000 ok a3azhom tunisiana tay7et 3likom rabi m3aha ..,negative,2018-01-02T20:50:09+0000,https://www.facebook.com/298166859034_10155976149264035
Ya5i chnia la7ya ser9a 3ini 3ink 3mlt abonement b 1 mois 750m 7atit carte b 5 d nrml tnt7l 3 d w ra8m hatha w 3ml abonment lflos 9a3ad tn9osli ya5i chnwa hatha ytsma????,negative,2018-01-08T14:39:00+0000,https://www.facebook.com/298166859034_10155990710899035
"ارونح مرسسي علخر علخر والله 💗💗💗💗💖💖💖 
خاطر بلحق ما يتفكرني حد كان انتي 
و كونكسيون متاعك عسل تشدلي ب3 جمعات 
واهم حاجه انو كي يطلبني شكون ميفيقاش بيا كنت نحكي لا تجيه اوكيبي ولا ان اتونت :* :* ربي يخليكم اما بلاهي نقصو شوي من ميساجات متاع مساطه هو انتخابات هو عيد شجره هو استقلال 
اما بلاهي لا تنساني في عيد لحب :*",positive,2018-01-02T20:19:17+0000,https://www.facebook.com/298166859034_10155976149264035
إو جبتها وجيت,negative,2018-01-07T19:31:31+0000,https://www.facebook.com/298166859034_10155989329394035
بجاه ربي  علاش السرقة ديما تعملولي فيها نصب كارتة ومن بعد تبدا تسرقولي منها لين توفا من غير منعمل بيها شي تبعثولي ميساجات وتهزو حقها من عندي علاش ومنحبش نعمل توناليتي تعملوهالي بالسيف ومنحبش العاب تعملولي اكسابت منغير منوافق افزح ربي يهديك يا اورونج,negative,2018-01-07T10:12:15+0000,https://www.facebook.com/298166859034_10155988413404035
بلهي بش نسلك كي يبد لواحد يتذضلم فلبوتيك كيفاش يخو حقو,negative,2018-01-07T15:02:07+0000,https://www.facebook.com/298166859034_10155988413404035
كاذبين ديما نشارك و شئ تربحو بالمعارف,negative,2018-01-06T10:20:28+0000,https://www.facebook.com/298166859034_10155985877804035
"بالله عليكم  اعملو حل 
فديت منكم 
4 فايسبوك تأكل اكثر من 1G وهذا لكل نستعمل في البيس متاعي 
شهر لفات 10 G في 10 ايام",negative,2018-01-05T00:25:45+0000,https://www.facebook.com/298166859034_10155981320529035
Yeser tsr9ou 1G matchedch hâta jem3a,negative,2018-01-03T22:07:24+0000,https://www.facebook.com/298166859034_10155977679374035
كان كذب فيكم يااورنج زعم زعم تحب تفرهدون وتفرحون ونهار الكل تبعثولون في الميسجات علاش تكذبوا قولوا الحقيقةد,negative,2018-01-03T22:16:21+0000,https://www.facebook.com/298166859034_10155976149264035
wel sirka 3ini 3inik chnowa namlo feha !??,negative,2018-01-02T15:03:17+0000,https://www.facebook.com/298166859034_10155975213409035
مع أرونج الربح ممنوع,negative,2018-01-02T10:09:13+0000,https://www.facebook.com/298166859034_10155975213409035
"servickom ka3ba la f aindraham,connexion dima tay7a.ana w 3ayelti w as7abi 5dhina decision bech nbadlou un autre operateur",negative,2018-01-02T10:02:39+0000,https://www.facebook.com/298166859034_10155975213409035
"7asnou service w sayeb 3likom mel koura,matefehmouhach.e5dmou 5edmtk 3ychkm,lahna f aindraham connexion 7moum,dima tay7a",negative,2018-01-02T18:52:52+0000,https://www.facebook.com/298166859034_10155975213409035
اورونج العار بالرسمي...كونيكسيون تعيف معدل القصان في النهار 450 مرة و كي تكلم السرفيس تكنيك يبعثوك تقضي و كل واحد يعطيك كلام..فريمون الواحد يشوف فورنيسار اخر خير خاطر العباد تخلص في الكونيكسيون و انا نخلص في الكوبير,negative,2018-01-02T17:05:27+0000,https://www.facebook.com/298166859034_10155975213409035
"Bonsoir, j'ai transformé des points cadeaux(800) vers 500 mo internet, mais le code qui m'a apparait pour consulter mon solde internet c'est *101*12#, mais il n'est pas valide pour cette opération.",negative,2018-01-02T19:56:17+0000,https://www.facebook.com/298166859034_10155975213409035
علامة أورنج أخي بدلتلي البيس أوريدو يا خي كي حليتها لقيتها هورنج مافهمت شيء,negative,2018-01-02T21:23:16+0000,https://www.facebook.com/298166859034_10155976149264035
orange rebhet,negative,2018-01-02T21:52:09+0000,https://www.facebook.com/298166859034_10155975213409035
Orange Orange Orange Orange Orange Orange Orange Orange Orange Orange Orange Orange,positive,2018-01-05T16:48:32+0000,https://www.facebook.com/298166859034_10155976149264035
😍❤❤,positive,2018-01-04T19:26:25+0000,https://www.facebook.com/298166859034_10155975213409035
Orange rebhet,negative,2018-01-02T21:52:09+0000,https://www.facebook.com/298166859034_10155975213409035
rakom kathertoulha bi sir9a jme3it orange,negative,2018-01-02T10:47:47+0000,https://www.facebook.com/298166859034_10155975213409035
merci.orange,positive,2018-01-02T10:34:09+0000,https://www.facebook.com/298166859034_10155975213409035
Ok 👍👍,positive,2018-01-09T18:46:25+0000,https://www.facebook.com/298166859034_10155994016649035
Fatiguée 😑,negative,2018-01-08T21:06:18+0000,https://www.facebook.com/298166859034_10155991701199035
Chbi waldikom orange?!!! La nhar taamlo haja tenfaa3!,negative,2018-01-03T16:31:17+0000,https://www.facebook.com/298166859034_10155977679374035
bonne année orange,positive,2018-01-02T15:38:30+0000,https://www.facebook.com/298166859034_10155973690964035
كل عام وانت بخير اورنج وخيتي راكي مرضتني,negative,2018-01-01T10:02:15+0000,https://www.facebook.com/298166859034_10155972525899035
ربح بالوجوه يزي من كذيب,negative,2018-01-09T22:10:16+0000,https://www.facebook.com/298166859034_10155994451819035
magnifique a quel prix,positive,2018-01-02T00:07:05+0000,https://www.facebook.com/298166859034_10155972525899035
الغلي و الكوي,negative,2018-01-01T10:23:31+0000,https://www.facebook.com/298166859034_10155972525899035
bonne année orange j espere que votre service technique s améliore c catastrophique j ai l adsl le réseau  à 97 pour cent est zéro tout le  temps je réclame enfin aeiiiiittttttt,positive,2018-01-01T11:18:31+0000,https://www.facebook.com/298166859034_10155970069549035
bonne annee orange ena 3andi 05 pus w dima nal3ab m3akom w ma3labelich nerbeh wella lee vive orange,positive,2018-01-01T11:42:53+0000,https://www.facebook.com/298166859034_10155970069549035
انا تعجبني اورنج عندي زوز بيسات ويعجبني فيها الانترنات سريعة لكن عمري ماربحت في حتى مسابقة في حياتي انشاء الله تصدف في 2018،bonne annee orange,positive,2018-01-01T11:10:31+0000,https://www.facebook.com/298166859034_10155970069549035
انا تعجبني اورنج عندي زوز بيسات ويعجبني فيها الانترنات سريعة لكن عمري ماربحت في حتى مسابقة في حياتي انشاء الله تصدف في 2018،bonne annee orange,positive,2018-01-01T10:16:44+0000,https://www.facebook.com/298166859034_10155970069549035
nchala 3amkom mabrouke orange nchala trabhona fi haja we nchala dima farhanin we tishale oumore,positive,2018-01-01T02:34:55+0000,https://www.facebook.com/298166859034_10155970069549035
انا تعجبني اورنج عندي زوز بيسات ويعجبني فيها الانترنات سريعة لكن عمري ماربحت في حتى مسابقة في حياتي انشاء الله تصدف في 2018،bonne annee orange,positive,2017-12-31T23:47:12+0000,https://www.facebook.com/298166859034_10155970069549035
3malt m3akom jaw 3alami nahitouli flousi kima habitou w chthitou  kol chhar w ana nejri n5ales fel flybox,negative,2017-12-31T22:02:32+0000,https://www.facebook.com/298166859034_10155970069549035
احلئ جو تعدئ مع اورنج هو عام سنا ربحت فيه انترنات ربحت فيه بطاقة شحن هاتف وربحت فيه تليفون من نوع رفيع مرسي اورنج انشالله ديما منورين والمزيد من تالق والعمل اورنج يمهبلتنا بافرياتك,positive,2017-12-31T21:53:02+0000,https://www.facebook.com/298166859034_10155970069549035
3amalt barcha jaw m3akoum 3am 2017 winchallah n3awdou 3am 2018 m3a les cadeaux mte3koum,positive,2017-12-31T21:45:12+0000,https://www.facebook.com/298166859034_10155970069549035
dima namele lé commontaire  fel les jeux lkoule ou manthasele ala chaye am tokadou dima behine💕💜,positive,2018-01-01T00:32:00+0000,https://www.facebook.com/298166859034_10155970069549035
tii mnin brabi jaw dima nal3eb m3ekom w jamais rbe7et mnkom 7eja bera8em 3andi 2 pus orange w airbox ma3neha client w chy,negative,2017-12-31T23:10:31+0000,https://www.facebook.com/298166859034_10155970069549035
اورونج إن شاء الله كل عام وانت بخير وتكون متألقة دائما,positive,2018-01-01T13:06:12+0000,https://www.facebook.com/298166859034_10155970069549035
adsl mta3kom nja7 hugh...salaktouha,positive,2017-12-31T21:38:30+0000,https://www.facebook.com/298166859034_10155970069549035
متعاقدين معاكم من عامين ونتمنى نربح حتى تلفون هههههههه في العام الجدي,positive,2018-01-01T12:30:08+0000,https://www.facebook.com/298166859034_10155970069549035
ra8mli marb7t me3akom hata chay ama bravo 5ir men barcha,positive,2018-01-01T00:23:01+0000,https://www.facebook.com/298166859034_10155970069549035
t9oulou taw terb7ou w mathamma shay😒😒,negative,2017-12-31T22:36:14+0000,https://www.facebook.com/298166859034_10155970069549035
"bonne année orange, beaucoup de réussite ...",positive,2018-01-01T11:10:53+0000,https://www.facebook.com/298166859034_10155970069549035
3amelt ma3koum a7la jaw nachah 3amkoum mabrouk orange,positive,2018-01-01T14:01:45+0000,https://www.facebook.com/298166859034_10155970069549035
"Problème de connexion avec les sites internationaux en 4G !!! echnouwa  hedha! echnouwa ye5i Facebook, Youtube , twitter welbe9i ma3andenech el7a9??!!",positive,2018-01-09T18:10:08+0000,https://www.facebook.com/298166859034_10155990710899035
"حسبنا الله ونعم الوكيل في الزيادات 

اعطوه على راسوا التونسي راهو مازال يتحمل",negative,2017-12-31T21:42:24+0000,https://www.facebook.com/298166859034_10155970629739035
Normalement Orange ntouma hakeka tetsarfou m3ana fel les services el 7moum mte3kom,negative,2018-01-08T06:14:54+0000,https://www.facebook.com/298166859034_10155989329394035
بجاه ربي  علاش السرقة ديما تعملولي فيها نصب كارتة ومن بعد تبدا تسرقولي منها لين توفا من غير منعمل بيها شي تبعثولي ميساجات وتهزو حقها من عندي علاش ومنحبش نعمل توناليتي تعملوهالي بالسيف ومنحبش العاب تعملولي اكسابت منغير منوافق افزح ربي يهديك يا اورونج,negative,2018-01-07T10:12:15+0000,https://www.facebook.com/298166859034_10155988413404035
ماعناش الحق في الربح,negative,2018-01-03T12:02:10+0000,https://www.facebook.com/298166859034_10155977679374035
والله العظيم تعطيو في الكادوات بالوجوه صحة ليكم واحنا منربحوش حتى شي عله,negative,2018-01-10T06:26:15+0000,https://www.facebook.com/298166859034_10155994451819035
"اقسم بأنني اوال انسان سوف يقاطع الكونكسيون  على الزيادات والاستكراش على الشعب المسكين نعلبوا الكونكسيون

على فكرة اسألوا اورنج قداش نستهلك بخلاف اولادي

هالبلاد مشات في هاوية الزيادات اقسم او فرصة في الهجرة سوف ارحل نعل................",negative,2017-12-31T21:28:40+0000,https://www.facebook.com/298166859034_10155970164834035
Triste car j'ai pas gainer aucune chose avec Orange malgré que je suis client fidèle,negative,2018-01-08T19:09:24+0000,https://www.facebook.com/298166859034_10155991701199035
علاش السرقة,negative,2017-12-31T20:43:30+0000,https://www.facebook.com/298166859034_10155970164834035
كل عام وانت بخير و انشاء الله يتعدى عليك عام حلو و كلو فرحة 344,positive,2017-12-31T21:00:06+0000,https://www.facebook.com/298166859034_10155970164834035
والله العظيم تعطيو في الكادوات بالوجوه صحة ليكم واحنا منربحوش حتى شي عله,negative,2018-01-10T06:26:15+0000,https://www.facebook.com/298166859034_10155994451819035
"أحلا جوا مع احلا اورنج
انشاء الله تربح معاك",positive,2018-01-10T10:00:14+0000,https://www.facebook.com/298166859034_10155991701199035
يا خي كيفناه نعرف الpoints cadeaux متاعي ، و شنو انجم نشري بيهم ؟,positive,2017-12-31T13:40:49+0000,https://www.facebook.com/298166859034_10155968427169035
يا اورنج بعثتولي كريدي من غير ما طلبتو وليت نصب 5dوانتم تنحو منهم مرتين 1740مشيت للسرفيس متاعكم باش ندسكتيفيها الحكاية يخي بقا الحال على ماهو عليه تعملو مزية شوفولي حل اما كانش خنشوف بيس اخرى ومخي رايض,negative,2017-12-31T13:29:05+0000,https://www.facebook.com/298166859034_10155968427169035
يا خي كيفناه نعرف الpoints cadeaux متاعي ، و شنو انجم نشري بيهم ؟,positive,2018-01-01T02:26:28+0000,https://www.facebook.com/298166859034_10155968427169035
