row,created_at,sentiment,source_url,comment_text
1,Wed Dec 13 15:08:54 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Depuis que #AwledMoufida c'est finit la vaisselle se fait bcp plus vite
2,Wed Dec 13 15:08:54 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",c'quil mette à la place d'Awled Moufida c'est méga genant, impossible à regarder en famille
3,Wed Dec 13 15:08:59 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>,"ما لا تعرفه على المخرج التونسي سامي الفهري _sami el fehri ta7an_ awled moufida "
4,Wed Dec 13 15:09:05 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",مسلسل كلو حرام في حرام 
5,Wed Dec 13 15:09:07 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>,"حقيقة مسلسل ولاد مفيدة انه يعالج قضية اولاد الحرام ولكنه ليس بمسلسل عائلي ويبث شهر رمضان تمنيت ممثلين مثل بدر وبيرم وابراهيم كانو في مسلسل بسيناريو اخر راح ينجخ افضل
6,Wed Dec 13 15:09:15 +0000 2017,with not,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#ملخص_مسلسل_اولاد_مفيدة 👪
#بدر ولد #حرام 😂 حب نور #بنت حرام ,😂 بيرم عاش مع #حسنة في #الحرام 😂 جاب #ولد في الحرام 😂 #مات الوليد الي #في الحرام 😂 #مشات حسنة #عاشت مع رجل اعمال 
7,Wed Dec 13 15:09:20 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",توة هذامسلسل يعديوه في رمضان بش شرب و زطلة و جرائم العباد قالقة من الارهاب و انتوما تحبو تفسدو الشعب برة اللّه يهلكك يا سامي الفهري يا طحان و برة اللّه لا تربحك يا وحيدة الدريدي يا قحبة راك متمثلش المرآة التونسية كان نراك قدامي مانصرفقك بزوك كفوف على وجهك و شوية فيك ونبولك على منظرك انت و هكة الطحان و الميبون متاعكم سامي ترمة برة يكب سعدكم وسعد الفن المنحط متاعكم
8,Wed Dec 13 15:09:24 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Y5dm f 5edma 5atyeto mosalsl marra t7essou torki malla film action marra 5orem .woooouuuuuuhhhh taba3to w ndemt sara7a
9,Wed Dec 13 15:09:26 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Mosalsel majee chayyy yjib raden!!! Chnowa hedha ye sami!!!! Yo9tol bouh felekher walah chay y2assef tchaj3ou f chabeb dhaya3 bvh yzid ydhi3
