id,comment_text,sentiment_category ,source_url,date
UggY_qFQPJbDF3gCoAEC,برشا حرام ..., negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
Ugggiijk_JjVQngCoAEC, خيييت😠😠😠😠, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
Ugji9wJsBYwU6XgCoAEC,nare ostor ya stare, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
UggKDG0FP8LJTXgCoAEC,MOSALSIL LA DIN WLA MILLA LIH WOU YESIR KAN 3AND EL 5OMMAJ MICH FI BLADNA AHNA DE SON PURE MICH MEXICAN WA ILLA GIPSY,il y a 6 mois negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
UgiLDN4W4311cngCoAEC,ye5i nrml y9oul kelme!!???, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
UgiQN0z8CmJL7HgCoAEC,in7itat kamil  5sara normalement 3amnewil e5rou mousalsil mastouh e barcha 5orem, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
UgiPC27A7mq2AngCoAEC,يا ريت يكمل الجزء هذا و معادش يعدوه في رمضان على خاطر شكون ولد الشريف عاملين منه 3 أجزاء ملا بورديل اصل, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
UghoU-o4IDXfeXgCoAEC,sa7a sami ye5i wini lhaica 12.27, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
Ugh5weQcTf4BfngCoAEC,لولاد خليكم من بنات مفيدة تفرجو على صبري لاس فيقس أكبر محتال في شمال إفريقيا ههههه, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
UgiP3w2Cv8NAz3gCoAEC,mala mosalsel mta3 5maj tfohhh 3likom ya kleb maycharefnech twansa 😠🔫, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
UgjYf151mptdrHgCoAEC,اروع مسلسل في عالم واعشق شعب تونسي اختكم من جزاير, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
UgglXhLNcyc01XgCoAEC,ياخي هذا مسلسل يتفرجوه الناس والله فاسد وفاسد مايشبه إﻻ لقصص العواهر, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
UgjKKjaZIZ_CoXgCoAEC,هذا لخماج ولا سيب ههههه, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
Ugia5NCdhmDbbngCoAEC,hasna arneb? fisa3 7eblet fisa3 weldet? bedmou3 lol, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
Ugi1V09wg3sLdHgCoAEC,مسااط مسلسل bad so bad, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
UgilBYGKt43hwXgCoAEC, hram , negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
Ughj0KvFqK4XcXgCoAEC,مالا تمنييك, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
UgiZlrTxcJNmK3gCoAEC,mala fsed we5maj, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
UgjR2LIVJQSp-XgCoAEC,مصاط المسلسل من أفعال الصادق ولينا نشكو في رجالنا لايكون عندهم أولاد مخبينهم الله يهديك سامي سكر علينا البرنامج🤔🤔🤔, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
UghHJAdsPDdyaXgCoAEC,بكلنا نتبعوا اولاد مفيده  لكن زح هذا واقعنا ؟؟ تونس هكا!!!  مش برشا تشويه للمرا التونسية, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
UghS5mtz9Z4aKngCoAEC,Kaboul???? malla 7keya  yejriw wra wa7da pute majet chay nimoprt quoi mafhemtech chneya lbut mte3ou hal mousalsal :o , negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
Ugj454rNpWnlUngCoAEC,شنوة؟؟؟ !!!  ياخي نورمال, negative,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,il y a 6 mois
