,created_at,sentiment,source,comment_text
"0,Wed Dec 13 14:56:35 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",دور زياد في أولاد مفيدة تعبني برشة"
"1,Wed Dec 13 14:56:36 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",و لا أروع  أولاد مفيدة Awled Moufida"
"2,Wed Dec 13 14:56:54 +0000 2017,not with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",متى سيكون الآذان بالزكرة يا أولاد مفيدة"
"3,Wed Dec 13 14:56:56 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",اولاد مفيدة مسلسل تونسي تعرض برمضان كل رمضان يعملو سيزون مسلسل معروف في تونس هو اللي غنى في الجينيريك"
"4,Wed Dec 13 14:57:01 +0000 2017,with,""<a href=""""http://tweytaty.com"""" rel=""""nofollow"""">Tweytaty App</a>"",11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222333333333333333333333333333333333333333333333333كل اولاد مفيدة"
"5,Wed Dec 13 14:57:03 +0000 2017,with,""<a href=""""http://tweytaty.com"""" rel=""""nofollow"""">Tweytaty App</a>"",بصراحة مسلسل روعة 😍😍💗"
"6,Wed Dec 13 14:57:27 +0000 2017, not with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",حتى الجمهور طلع من أولاد مفيدة "
قناة الماخور التونسي 
"7,Wed Dec 13 14:57:28 +0000 2017,with,""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Lite</a>"",انا مع فنون الدفاع عن النفس مع الرياضة في المدارس سواء بنات او اولاد مفيده للكل"
"8,Wed Dec 13 14:57:29 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",الكرونيكور في قناة الوطنية الأولى كريم بوزويتة ولد من أولاد مفيدة يقدم في روحو كرونيكور محايد"
"9,Wed Dec 13 14:57:31 +0000 2017,not with,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",قلك وحدة من بنات مفيدة  اسمها سوار شدوها متلبسة ومعاها شبعة كوكايين."
حتى هوما اولاد مفيدة وسامي الفهري.
3000 سنة ثقافة😂😂😂
"10,Wed Dec 13 14:57:32 +0000 2017,not with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",أولاد مفيدة كعمل درامي مايعجبنيش !"
"11,Wed Dec 13 14:57:34 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",awled moufida ❤️❤️ أولاد مفيدة "
"12,Wed Dec 13 14:57:36 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",برافو أولاد مفيدة "
"13,Wed Dec 13 14:57:41 +0000 2017,with,""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Lite</a>"",ya3tikom sa7777a"
Tebarkallah aouled moufida
