id,comment_text,category, source_url,date
Ugy07el6R3q9GvJIHoB4AaABAg,رجع بقوة 😘😚😚,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,6 months ago
UgxwL_Nmhz4gg2Zifot4AaABAg,مسلسل حلو برشة,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,6 months ago
UgyDLLhJHsoHYqVa46N4AaABAg,وحدك وحدك يا بيروم الأنيق😘😘😘😘,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,6 months ago
UgzAl6Gy29q7X4LkppZ4AaABAg,bravoooooooo,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,6 months ago
UggFP3x7SK0uWHgCoAEC,abonné toi c'est  moi qu'il la cree,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,5 months ago
UghcTDt9LAPiNXgCoAEC,تحيا. ناس تونس. وين ما كونو. ويحيا. اولاد مفيدة ههههههههه بيرم😍 بدر😍 ابراهيم😍#عنابية💞,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,5 months ago
UgiKTAHLpq8G1HgCoAEC,قاللها تحب بيبي اخر؟ 2sec تطلعت حبلة 2 sec ولدت هههع قوت اخراج,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,5 months ago
UgieVYKTsdmAfHgCoAEC,طييييييب 😂😂😂😂😂😁😂😂😂🍉😁😍😍😍😁😂😂🍉🍉😂😁😁😍😍😍😍😍😍🍉🍉🍉,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,5 months ago
UgiA-yuCO7U00ngCoAEC,شهر رمضان شهر مبارك وهل المسلسل فيه كان الكلام الزيد  إحشموا على روحكم,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,5 months ago
UgiodHWTyW-3-HgCoAEC,bayrem maynajemch i3ich manghir machekel malla khra w go3r w tassa ya3tih hamm 3ala rassou likhra hedha,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,5 months ago
Uggmcb4uJ30WhXgCoAEC,7al9a behya barcha daloula,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,5 months ago
UgjMvL2pECM6_ngCoAEC,لازم مسلسل اخر لولد بيرم الظاهر حتى هو في كبرو باش يتصدم 🔱👌,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,5 months ago
UghlC5061s1wZHgCoAEC,آماااال علوان😏😓 ولات ماسطةة 😏,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,5 months ago
UgiLg6elgR7ysngCoAEC,j'aime bien le feuilletr...mteb3ato ...sauf k maajebntnich lahkaya ki hassna heblet m sadek....w khrej bayrem mouch rajel...koun lahkaya taamlet autrement.sinon c un.feuilleton ki fait la une....min.l'Algérie ohayikom 😘,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,6 months ago
UggusJevCu8BsXgCoAEC,الصبر حسناء تمرمدت لين ماعادش,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,6 months ago
UgjqKsx8QHa0eHgCoAEC, best of wled moufida ,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,6 months ago
Ugi5MbD2wBEriHgCoAEC,الحلقة تبدا فالدقيقة 4:56فرجة ممتعة🤗,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,6 months ago
UghnI4aSN14D-3gCoAEC,بيرم عجبتني في الحلق هذي,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,6 months ago
UghJSQNhBAy9cHgCoAEC,une très belle série saha ftorkom men l'Algérie,positive,https://www.youtube.com/watch?v=HKcB2SXWnws&t=3s,6 months ago
