comment_text,source_url,date,sentiment_category
Hobi tjr four,https://www.facebook.com/salemmr/255238297885960_1622181214524988,2017-12-22 08:04:18,positive
SELEM Salem Mr RAK DHAMER OU ENHEBOUKBARCHA,https://www.facebook.com/salemmr/255238297885960_1621670871242689,2017-12-21 17:06:15,positive
Wlh masra7iya tayra fiha barcha dho7k w rabi m3ak amir w nchalah men 7asan ila a7san,https://www.facebook.com/salemmr/255238297885960_1621670871242689,2017-12-21 17:12:33,positive
Ma7lek amir dima netfarrej fi videowatek  wa7dek el7asilou :-) :-) <3 <3 <3 :* :*,https://www.facebook.com/salemmr/255238297885960_1620591964683913,2017-12-20 12:26:40,positive
rabi m3ak,https://www.facebook.com/salemmr/255238297885960_1619685488107894,2017-12-19 12:20:26,positive
i love you,https://www.facebook.com/salemmr/255238297885960_1619685488107894,2017-12-19 12:24:56,positive
Tooop,https://www.facebook.com/salemmr/255238297885960_1619685488107894,2017-12-20 11:12:16,positive
Bravo 👏👏👏,https://www.facebook.com/salemmr/255238297885960_1619685488107894,2017-12-21 21:00:22,positive
Top,https://www.facebook.com/salemmr/255238297885960_1619685488107894,2017-12-22 04:26:56,positive
i love youuuuu,https://www.facebook.com/salemmr/255238297885960,2017-12-19 12:43:00,positive
YA M3lm,https://www.facebook.com/salemmr/255238297885960,2017-12-18 13:19:22,positive
ya m3alem ya amir,https://www.facebook.com/salemmr/255238297885960,2017-12-18 14:17:20,positive
Wa7dek Amir 😀😘😍😚,https://www.facebook.com/salemmr/255238297885960,2017-12-19 05:03:28,positive
Machallh 3lik rabbi ye7fdhek nchallh,https://www.facebook.com/salemmr/255238297885960_1619685488107894255238297885960_1618819941527782,2017-12-19 13:07:27,positive
amir ya m3alem,https://www.facebook.com/salemmr/255238297885960_1619685488107894255238297885960_1618819941527782255238297885960_559515744383148,2017-12-16 12:38:32,positive
Toooop,https://www.facebook.com/salemmr/255238297885960_1619685488107894255238297885960_1618819941527782255238297885960_559515744383148,2017-12-17 05:15:24,positive
I love you amir salem monsieur,https://www.facebook.com/salemmr/255238297885960_1616872548389188,2017-12-17 04:20:33,positive
le meilleur *-* ♡♡,https://www.facebook.com/salemmr/255238297885960_1616872548389188,2017-12-17 16:28:02,positive
Nhebou houwa zain amir,https://www.facebook.com/salemmr/255238297885960_1616872548389188,2017-12-18 15:46:11,positive
rabi ywaf9ek nchallah ya ahla amir,https://www.facebook.com/salemmr/255238297885960_1616872548389188,2017-12-18 16:57:02,positive
Rabi m3ka,https://www.facebook.com/salemmr/255238297885960_1616872548389188,2017-12-18 18:10:11,positive
Ya m3alem,https://www.facebook.com/salemmr/255238297885960_1616872548389188,2017-12-21 05:51:24,positive
Ana aktar wahda antaba3 fik,https://www.facebook.com/salemmr/255238297885960_1616872548389188,2017-12-21 06:18:21,positive
N7bkkkkk barchaa😻😻😻😻,https://www.facebook.com/salemmr/255238297885960_1615731951836581,2017-12-15 10:41:11,positive
Il est bien ce mec il faut juste qu il essaie de bien travailler en équipe et il mérite une bonne émission tout seul en tant qu un animateur,https://www.facebook.com/salemmr/255238297885960_1615731951836581,2017-12-15 10:49:39,positive
mwaher love u,https://www.facebook.com/salemmr/255238297885960_1615731951836581,2017-12-15 10:55:27,positive
Ah ya m3alm,https://www.facebook.com/salemmr/255238297885960_1615731951836581,2017-12-15 13:55:00,positive
Mnawar bzaf,https://www.facebook.com/salemmr/255238297885960_1615731951836581,2017-12-15 16:06:13,positive
Tooooop comme tjr,https://www.facebook.com/salemmr/255238297885960_1615731951836581,2017-12-16 12:10:08,positive
Tooooop bb tjr four nhbk w dima ma3ak😘,https://www.facebook.com/salemmr/255238297885960_1615731951836581,2017-12-17 13:52:42,positive
Bouu zink amir ma7leeeek,https://www.facebook.com/salemmr/255238297885960_1615731951836581,2017-12-20 06:28:40,positive
Ija nabil ya amir 5atyr barcha yhibouk,https://www.facebook.com/salemmr/255238297885960_1614854308591012,2017-12-15 04:15:12,positive
tooooooop,https://www.facebook.com/salemmr/255238297885960_1610976708978772,2017-12-10 16:11:55,positive
Tooop mnawrin😍😍😍,https://www.facebook.com/salemmr/255238297885960_1610976708978772,2017-12-10 16:15:33,positive
❤❤✌✌,https://www.facebook.com/salemmr/255238297885960_1610976708978772,2017-12-10 16:12:00,positive
Tooooop du tooooooop,https://www.facebook.com/salemmr/255238297885960_1610976708978772,2017-12-10 17:41:26,positive
♡♡♡♡♡♡♡♡♡♡,https://www.facebook.com/salemmr/255238297885960_1610976708978772,2017-12-10 17:46:24,positive
Tooooooop comme tjrs❤❤,https://www.facebook.com/salemmr/255238297885960_1610976708978772,2017-12-10 18:11:15,positive
Top raw3a amir,https://www.facebook.com/salemmr/255238297885960_1610976708978772,2017-12-11 12:41:08,positive
Très bien,https://www.facebook.com/salemmr/255238297885960_1610976708978772,2017-12-11 13:55:48,positive
top amir,https://www.facebook.com/salemmr/255238297885960_1610976708978772,2017-12-12 10:36:50,positive
Toooop amir,https://www.facebook.com/salemmr/255238297885960_1610976708978772,2017-12-16 13:13:38,positive
TOOOP AMIR,https://www.facebook.com/salemmr/255238297885960_1610976708978772,2017-12-17 11:19:03,positive
Tooop,https://www.facebook.com/salemmr/255238297885960_1610976708978772,2017-12-22 04:30:23,positive
Rabi y3inek w rabi ywaf9ek et bonne continuation,https://www.facebook.com/salemmr/255238297885960_1607999782609798,2017-12-07 16:56:40,positive
Bon contuniation amir dima l9odem 3chiri,https://www.facebook.com/salemmr/255238297885960_1607999782609798,2017-12-07 17:20:45,positive
Bravo et bonne continuation 👍,https://www.facebook.com/salemmr/255238297885960_1607999782609798,2017-12-07 18:08:59,positive
Bonne continuation,https://www.facebook.com/salemmr/255238297885960_1607999782609798,2017-12-07 18:22:54,positive
rebi maak rak bzaaaaf,https://www.facebook.com/salemmr/255238297885960_1607999782609798,2017-12-07 19:04:57,positive
Bon contuniation amir dima l9odem 3chiri,https://www.facebook.com/salemmr/255238297885960_1607999782609798,2017-12-07 17:20:45,positive
Amir ma7lek w ma7la dhmarek w eli ynaber 3lik akid par jalousie bonne continuation ❤❤,https://www.facebook.com/salemmr/255238297885960_1607999782609798,2017-12-08 00:29:06,positive
ija l gabes wallh n7ebouk barcha amir w nstanaw fik <3 <3 <3 <3 <3,https://www.facebook.com/salemmr/255238297885960_1607999782609798,2017-12-08 05:37:34,positive
7bk barcha amir amaan ija el menzel bouzelfa,https://www.facebook.com/salemmr/255238297885960_1607999782609798,2017-12-08 10:21:19,positive
BON COURRRRRRRRRRRAGE AMMMMMIR,https://www.facebook.com/salemmr/255238297885960_1607999782609798,2017-12-08 14:23:50,positive
Rabi ywaf9ak akhoya,https://www.facebook.com/salemmr/255238297885960_1607999782609798,2017-12-10 09:22:00,positive
Rabi i3inek y'a 3esel,https://www.facebook.com/salemmr/255238297885960_1607999782609798,2017-12-15 08:30:35,positive
stop tjr amir top 😘,https://www.facebook.com/salemmr/255238297885960_1607999782609798,2017-12-17 13:59:46,positive
Mat3aber 7ad ya fratelou wasel w nchalah m'en 7san ila a7sen 😋😀😙,https://www.facebook.com/salemmr/255238297885960_1604903896252720,2017-12-04 14:32:40,positive
"bravo , je te souhaite bcp de succés et de reussite cousin",https://www.facebook.com/salemmr/255238297885960_1604208476322262,2017-12-04 02:23:53,positive
Oui mahlkkkk amir w rabi ywaf9ek,https://www.facebook.com/salemmr/255238297885960_1604208476322262,2017-12-04 18:10:22,positive
bon continuation amir,https://www.facebook.com/salemmr/255238297885960_1604208476322262,2017-12-06 09:50:16,positive
Moche normale 3ale5err lh9i9a rejbtniii sepacetcle❤❤❤,https://www.facebook.com/salemmr/255238297885960_1604150829661360,2017-12-03 17:18:58,positive
Bravo bonne continuation motet bel thou7ik enti a7sen wahid fi tunis👍👍,https://www.facebook.com/salemmr/255238297885960_1604150829661360,2017-12-03 17:50:55,positive
Vrmt bravo w rabi m3ak,https://www.facebook.com/salemmr/255238297885960_1604150829661360,2017-12-03 17:55:36,positive
Bravo,https://www.facebook.com/salemmr/255238297885960_1604150829661360,2017-12-04 08:21:37,positive
Brasmi moch nourmal😍😍,https://www.facebook.com/salemmr/255238297885960_1604150829661360,2017-12-04 14:10:32,positive
Tayara.,https://www.facebook.com/salemmr/255238297885960_1604150829661360,2017-12-04 14:36:00,positive
Bon courage amir,https://www.facebook.com/salemmr/255238297885960_1603884063021370,2017-12-03 12:03:49,positive
Bon courage mon amour❤❤,https://www.facebook.com/salemmr/255238297885960_1603884063021370,2017-12-03 12:23:33,positive
Bravo bonne continuation motet bel thou7ik enti a7sen wahid fi tunis👍👍,https://www.facebook.com/salemmr/255238297885960_1604150829661360,2017-12-03 17:50:55,positive
Amir ya tayara,https://www.facebook.com/salemmr/255238297885960_1595418203867956,2017-11-26 13:07:01,positive
"Quand l'avion passe, les chiens aboient.",https://www.facebook.com/salemmr/255238297885960_1590255281050915,2017-11-20 13:50:56,positive
Y'a Salem Mr y'a m3adhabhom ou salamli 3la 5anchour,https://www.facebook.com/salemmr/255238297885960_1590255281050915,2017-11-20 15:11:24,positive
Go go 😎,https://www.facebook.com/salemmr/255238297885960_1587282828014827,2017-11-17 18:56:32,positive
The kiing 😍❤,https://www.facebook.com/salemmr/255238297885960_1583873268355783,2017-11-14 13:16:18,positive
rajel sid erjel ya weld tlili khalihom ken andna prof d'arabe ken ikoul al kafilatou tassir wal kilabou tanbahou,https://www.facebook.com/salemmr/255238297885960_1583873268355783,2017-11-14 14:11:59,positive
