comment_text,sentiment_category,date,url
Sa77a nemes mnawer frr,positif,2017-10-11T01:14:34+0000,https://www.facebook.com/YoussefMsekni.fans/photos/a.1775917462734519.1073741827.1775900379402894/1785069168486015/?type=3
pff,negatif,2011-12-26T09:39:58+0000,https://www.facebook.com/Youssef.28.Msakni/photos/a.208759275841902.69755.201965813187915/208886772495819/?type=3
le meilleur joueur de la tunisie cest msakni,positif,2017-05-18T18:33:41.000Z,https://www.youtube.com/watch?v=KV2WpPMM90E
Yassir tfaded,negatif,2017-11-13T18:20:15+0000,https://www.facebook.com/YoussefMsekni.fans/photos/a.1775917462734519.1073741827.1775900379402894/1785069168486015/?type=3
M3allem,positif,2017-12-22T08:43:10+0000,https://www.facebook.com/Youssef.7.Msekni/photos/a.1914098345530246.1073741827.1914097858863628/1914098262196921/?type=3
aller Yuossef,positif,2017-07-05T02:20:51.000Z,https://www.youtube.com/watch?v=i2WUo3tzM6Y
Mnawer ya msakni,positif,2017-10-10T17:22:00+0000,https://www.facebook.com/YoussefMsekni.fans/photos/a.1775917462734519.1073741827.1775900379402894/1785069168486015/?type=3
Rabbbi yhannik ya sema777,positif,2017-08-22T12:38:12+0000,https://www.facebook.com/Youssef.7.Msekni/photos/a.1914098345530246.1073741827.1914097858863628/1914098262196921/?type=3
Le Meilleur.. ♥,positif,2012-12-05T10:03:08.000Z,https://www.youtube.com/watch?v=idYD3qRZWzE
Nemms❤❤,positif,2017-12-14T17:31:32+0000,https://www.facebook.com/Youssef.7.Msekni/photos/a.1914098345530246.1073741827.1914097858863628/1914098262196921/?type=3
Bravo bravo bravo inchala jusqu'au bout ya rahbi je suis de france est je ne te dit pas comment ont est fier de notre équipe et notre payer tunissiiiiiieeee 😍😍😍😍😍😍😙😙😉bravo pour tout l'équipes,positif,2017-01-24T10:24:11+0000,https://www.facebook.com/YoussefMsekni.fans/photos/a.1775917462734519.1073741827.1775900379402894/1785069168486015/?type=3
Far5 cha9nous,negatif,2017-11-19T21:27:25+0000,https://www.facebook.com/Youssef.7.Msekni/photos/a.1914098345530246.1073741827.1914097858863628/1914098262196921/?type=3
ya m3alem,positif,2017-12-01T12:27:54+0000,https://www.facebook.com/YoussefMsekni.fans/photos/a.1775917462734519.1073741827.1775900379402894/1785069168486015/?type=3
Sa7a y'a nems,positif,2017-10-10T20:37:15+0000,https://www.facebook.com/Youssef.7.Msekni/photos/a.1914098345530246.1073741827.1914097858863628/1914098262196921/?type=3
hetha el cha5ss min anwe3 el 7atharet el nadra,negatif,2017-09-15T14:05:55.000Z,https://www.youtube.com/watch?v=YXGdt6ppv5c
Bravoooo wlh 😍😍😍,positif,2017-10-07T20:27:21+0000,https://www.facebook.com/Youssef.7.Msekni/photos/a.1914098345530246.1073741827.1914097858863628/1914098262196921/?type=3
Ya m3alem,positif,2016-12-03T00:33:49.000Z,https://www.youtube.com/watch?v=Aj222C2tdgg
msakni ❤ ❤  btw nice job,positif,2017-02-14T16:45:49.000Z,https://www.youtube.com/watch?v=nMHXkR_zZvk
moch rajel w 9oaalit el rojlla,negatif,2017-07-25T19:43:26.000Z,https://www.youtube.com/watch?v=YXGdt6ppv5c
Bravooooo wld bledi rabbi m3akom nchlh tfar7ouna dima bon courage,positif,2017-01-24T13:05:44+0000,https://www.facebook.com/YoussefMsekni.fans/photos/a.1775917462734519.1073741827.1775900379402894/1785069168486015/?type=3
Ism el ronaya?,positif,2017-11-05T19:21:44.000Z,https://www.youtube.com/watch?v=4SiGzsh-IE8
M3alm,positif,2017-12-05T11:46:09+0000,https://www.facebook.com/Youssef.7.Msekni/photos/a.1914098345530246.1073741827.1914097858863628/1914098262196921/?type=3
vive la tunisie moderne,positif,2017-07-08T09:16:45.000Z,https://www.youtube.com/watch?v=IL9n9bXFOxM
Nchalah 3amek mabrouk bro,positif,2017-12-30T23:01:43+0000,https://www.facebook.com/Youssef.7.Msekni/photos/a.1914098345530246.1073741827.1914097858863628/1914098262196921/?type=3
El adhan y adhan ou houma dima yal3bou,positif,2013-10-22T00:15:18.000Z,https://www.youtube.com/watch?v=tIwH0pXsqEw
yesser mathroub fi rou7ek ya youssef,negatif,2011-07-18T11:09:19+0000,https://www.facebook.com/Youssef.28.Msakni/photos/a.208759275841902.69755.201965813187915/208886772495819/?type=3
malla jabri,negatif,2011-11-05T09:36:00+0000,https://www.facebook.com/Youssef.28.Msakni/photos/a.208759275841902.69755.201965813187915/208886772495819/?type=3
i love you Yousef Msakni <3<3<3<3,positif,2013-05-22T19:39:53.000Z,https://www.youtube.com/watch?v=xVYKGG0U1xo
